match_id,minute,gold_adv,xp_adv,duration_min,radiant_win
8780045164,55,-7974,-4565,56.4,0
8780045164,56,-10887,-12693,56.4,0
8780043126,0,0,0,45.18333333333333,1
8780043126,1,762,157,45.18333333333333,1
8780043126,2,775,306,45.18333333333333,1
8780043126,3,26,-293,45.18333333333333,1
8780043126,4,326,-207,45.18333333333333,1
8780043126,5,682,-24,45.18333333333333,1
8780043126,6,333,-586,45.18333333333333,1
8780043126,7,1238,207,45.18333333333333,1
8780043126,8,1711,520,45.18333333333333,1
8780043126,9,1992,1243,45.18333333333333,1
8780043126,10,2981,1537,45.18333333333333,1
8780043126,11,2343,862,45.18333333333333,1
8780043126,12,3215,2145,45.18333333333333,1
8780043126,13,1838,-585,45.18333333333333,1
8780043126,14,1783,-916,45.18333333333333,1
8780043126,15,2536,521,45.18333333333333,1
8780043126,16,3093,797,45.18333333333333,1
8780043126,17,2829,135,45.18333333333333,1
8780043126,18,2940,662,45.18333333333333,1
8780043126,19,2065,-1057,45.18333333333333,1
8780043126,20,2095,-2833,45.18333333333333,1
8780043126,21,1471,-4313,45.18333333333333,1
8780043126,22,-472,-9610,45.18333333333333,1
8780043126,23,-1432,-9408,45.18333333333333,1
8780043126,24,-2287,-9786,45.18333333333333,1
8780043126,25,-1822,-6616,45.18333333333333,1
8780043126,26,-301,-3697,45.18333333333333,1
8780043126,27,-76,-3427,45.18333333333333,1
8780043126,28,2059,2179,45.18333333333333,1
8780043126,29,4196,7373,45.18333333333333,1
8780043126,30,5526,8569,45.18333333333333,1
8780043126,31,2312,2943,45.18333333333333,1
8780043126,32,3039,6539,45.18333333333333,1
8780043126,33,6961,14850,45.18333333333333,1
8780043126,34,10553,12519,45.18333333333333,1
8780043126,35,11632,14899,45.18333333333333,1
8780043126,36,8181,8200,45.18333333333333,1
8780043126,37,8348,11340,45.18333333333333,1
8780043126,38,4480,-3707,45.18333333333333,1
8780043126,39,3680,-5036,45.18333333333333,1
8780043126,40,3869,-4746,45.18333333333333,1
8780043126,41,2930,-1595,45.18333333333333,1
8780043126,42,788,-3869,45.18333333333333,1
8780043126,43,-790,-1886,45.18333333333333,1
8780043126,44,-151,-661,45.18333333333333,1
8780043126,45,5692,17898,45.18333333333333,1
8780042536,0,0,0,33.06666666666667,0
8780042536,1,77,154,33.06666666666667,0
8780042536,2,272,245,33.06666666666667,0
8780042536,3,372,308,33.06666666666667,0
8780042536,4,1203,959,33.06666666666667,0
8780042536,5,1466,804,33.06666666666667,0
8780042536,6,1973,1131,33.06666666666667,0
8780042536,7,1834,800,33.06666666666667,0
8780042536,8,1443,458,33.06666666666667,0
8780042536,9,1317,611,33.06666666666667,0
8780042536,10,295,-1683,33.06666666666667,0
8780042536,11,126,-1297,33.06666666666667,0
8780042536,12,-1199,-3324,33.06666666666667,0
8780042536,13,-3045,-5156,33.06666666666667,0
8780042536,14,-4074,-4312,33.06666666666667,0
8780042536,15,-3254,-3160,33.06666666666667,0
8780042536,16,-3872,-4359,33.06666666666667,0
8780042536,17,-2931,-2776,33.06666666666667,0
8780042536,18,-2383,-1849,33.06666666666667,0
8780042536,19,-2814,-1808,33.06666666666667,0
8780042536,20,-2195,-1908,33.06666666666667,0
8780042536,21,-2734,-2121,33.06666666666667,0
8780042536,22,-1407,-1420,33.06666666666667,0
8780042536,23,1141,4035,33.06666666666667,0
8780042536,24,2299,4788,33.06666666666667,0
8780042536,25,1212,3599,33.06666666666667,0
8780042536,26,570,3801,33.06666666666667,0
8780042536,27,-1717,1931,33.06666666666667,0
8780042536,28,-2340,-41,33.06666666666667,0
8780042536,29,-3626,1173,33.06666666666667,0
8780042536,30,-6582,-7156,33.06666666666667,0
8780042536,31,-9856,-11316,33.06666666666667,0
8780042536,32,-12742,-14716,33.06666666666667,0
8780042536,33,-14206,-23750,33.06666666666667,0
8780032478,0,0,0,28.333333333333332,1
8780032478,1,156,202,28.333333333333332,1
8780032478,2,247,57,28.333333333333332,1
8780032478,3,431,175,28.333333333333332,1
8780032478,4,736,98,28.333333333333332,1
8780032478,5,801,255,28.333333333333332,1
8780032478,6,670,120,28.333333333333332,1
8780032478,7,520,-40,28.333333333333332,1
8780032478,8,682,-295,28.333333333333332,1
8780032478,9,689,-620,28.333333333333332,1
8780032478,10,313,-1173,28.333333333333332,1
8780032478,11,331,-925,28.333333333333332,1
8780032478,12,-632,-2252,28.333333333333332,1
8780032478,13,-2,-1587,28.333333333333332,1
8780032478,14,-1715,-6110,28.333333333333332,1
8780032478,15,-2681,-6769,28.333333333333332,1
8780032478,16,-3010,-6903,28.333333333333332,1
8780032478,17,-3483,-7861,28.333333333333332,1
8780032478,18,-2538,-3536,28.333333333333332,1
8780032478,19,-3416,-3236,28.333333333333332,1
8780032478,20,-137,3933,28.333333333333332,1
8780032478,21,2011,6889,28.333333333333332,1
8780032478,22,1703,6143,28.333333333333332,1
8780032478,23,5833,14629,28.333333333333332,1
8780032478,24,7362,16397,28.333333333333332,1
8780032478,25,9201,24690,28.333333333333332,1
8780032478,26,11583,30047,28.333333333333332,1
8780032478,27,14380,31400,28.333333333333332,1
8780032478,28,15783,32282,28.333333333333332,1
